;,type,id,=,(,),{,},",",return,const,<,>,<=,>=,==,!=,+,-,*,/,&&,||,!,true,false,number,eof,S,список_операторов,оператор,объявление,тело_объявления,параметры_объявления,список_параметров,возвращение,присваивание,константа,выражение,список_предикатов,предикат,список_слагаемых,слагаемое,список_множителей,множитель,список_логических_выражений,логическое_выражение,вызов_логического_выражения,параметры_вызова,список_значений
,s7,s8,,,,,,,s10,s9,,,,,,,,,,,,,,,,,r2,,s1,s2,s3,,,,s6,s4,s5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,r0,,,,,,,,,,,,,,,,,,,,,,
s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s14,,,,,,,,,,,,,,,,,,
,,s23,,s25,,,,,,,,,,,,,,,,,,,s20,s21,s22,s24,,,,,,,,,,,,s15,,s16,,s17,,s18,,s19,,,
,s7,s8,,,,,,,s10,s9,,,,,,,,,,,,,,,,,r2,,s26,s2,s3,,,,s6,s4,s5,,,,,,,,,,,,
r10,,,s28,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,s27,,,,,,,,,,,,,,,,,
,,s23,,s25,,,,,,,,,,,,,,,,,,,s20,s21,s22,s24,,,,,,,,,,,,s30,,s16,,s17,,s18,,s19,,,
r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
